type,hrsys_rotation_id,etl_date,etl_date2,profile_id,desired_location,desired_country,ingest_ts,ingest_ts_offset
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Rio De Janeiro,Brazil,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"ROCHESTER, MI",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"Rockford, IL",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"San Diego, CA",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"San Mateo, CA",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Sant Cugat del Valles,Spain,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,SaoBernardo doCampo,Brazil,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"Schaumburg, IL",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Seville,Spain,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Shanghai,China,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Sofia,Bulgaria,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"South Hadley, MA",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"South Windsor, CT",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"Tucson, AZ",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"Tysons, VA",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Varna,Bulgaria,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"Walpole, MA",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"Warren, NJ",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"Waxahachie, TX",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Wellington,New Zealand,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"West Deptford, NJ",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"Winston-Salem, NC",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Wolfsburg,Germany,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Wroclaw,Poland,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-6923745,2026-05-04 02:30:00,2026-05-04 11:32:18.430000,01873f20-fced-4967-ae08-aba000fda52d,Kyiv,Ukraine,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-6923745,2026-05-04 02:31:00,2026-05-04 11:32:18.430000,01873f20-fced-4967-ae08-aba000fda52d,Tricity,Poland,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-6923745,2026-05-04 02:31:00,2026-05-04 11:32:18.430000,01873f20-fced-4967-ae08-aba000fda52d,Wroclaw,Poland,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-5973019,2026-05-04 02:30:00,2026-05-04 11:32:18.430000,01afe1c1-43a8-4c57-a68b-aa92008de749,St.-Petersburg,Russia,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-16374079,2026-05-04 02:30:00,2026-05-04 11:32:18.430000,01b0c97a-7974-48dc-aaec-b27400a54748,Elblag,Poland,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-16374079,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,01b0c97a-7974-48dc-aaec-b27400a54748,Lisbon,Portugal,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-6730907,2026-05-04 02:31:00,2026-05-04 11:32:18.430000,01cf1a0c-eeb7-481f-a1c2-ab6d00866cc5,Kyiv,Ukraine,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-16769008,2026-05-04 02:30:00,2026-05-04 11:32:18.430000,01e2924e-ebde-4a57-8871-b21e00fd65bb,Kyiv,Ukraine,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,Aldershot,UK,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,Barcelona,Spain,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,Basildon,UK,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:31:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Florida, Tampa",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:31:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Kansas, Statewide",USA,2026-05-05 11:46:05.124189,UTC-4
